Diện tích (m2),Số phòng ngủ,Số phòng tắm,Năm xây dựng,Vị trí (Mã vùng),Giá bán (VNĐ)
62,3,3,2012,55199,508849121
77,2,2,1997,55156,428144338
91,2,3,2008,55109,404489791
245,2,2,1993,55110,501846861
128,4,2,2004,55199,737588930
201,2,2,2004,55156,710691190
243,5,2,1950,55109,934324988
64,1,2,1957,55107,619076023
256,4,1,1953,55107,724994622
130,2,1,2002,55110,415592680
160,1,2,2007,55126,409896662
286,3,1,1986,55160,656968586
34,2,3,1998,55107,691397678
247,1,3,2016,55156,717723077
284,5,3,1968,55160,1099508897
236,3,2,1950,55123,610780864
44,5,2,1978,55106,716232920
71,1,1,1982,55106,534525823
208,5,1,2001,55111,790779996
92,1,1,1990,55109,521942998
260,1,3,1972,55199,802316625
270,5,3,1954,55109,988540621
81,1,3,2020,55109,477004545
125,2,3,2006,55126,753551070
251,1,1,1955,55111,513319058
260,4,2,1998,55160,614771517
266,1,2,1971,55123,529464795
172,4,3,1953,55109,627164392
200,1,2,2021,55111,455086983
58,1,2,2013,55156,325016105
65,5,2,1986,55199,828016872
42,2,3,1980,55109,456575783
189,2,1,1986,55107,521235238
216,3,1,1994,55199,488423445
272,5,2,1957,55110,857140261
115,5,1,1989,55106,871182017
95,2,1,1954,55111,553178172
199,5,3,1977,55109,634778728
74,2,3,1958,55109,314870376
91,5,2,1951,55107,766157778
163,1,2,2012,55199,347516200
57,2,2,2000,55111,536423489
137,2,3,1980,55199,750813083
73,4,1,1956,55199,695010719
157,5,3,1979,55110,940001021
260,5,3,2007,55106,734530013
219,2,1,1952,55107,413184597
254,1,1,2000,55111,578382989
150,1,2,2005,55106,571204083
145,1,1,2022,55199,604937719
262,5,1,1959,55111,712920128
288,4,1,2010,55109,576791468
227,2,1,1999,55123,769400449
166,3,2,1996,55160,853502421
194,4,2,1950,55160,672670637
254,3,1,2006,55156,511536383
263,4,1,1987,55123,809394784
201,1,2,2011,55156,787635214
181,5,2,2019,55126,758548136
189,3,1,2014,55199,692579285
125,4,3,2011,55156,510993255
262,5,2,2005,55111,925711782
209,3,2,2016,55109,536830632
142,2,2,1966,55106,420985000
81,4,1,1957,55110,596492810
297,2,1,2009,55111,628299651
142,1,2,1989,55160,415787910
130,2,1,2011,55109,497031124
142,2,1,1990,55123,389878019
110,4,2,1961,55199,585861963
216,1,1,2003,55111,657270137
142,2,3,1960,55160,598677306
31,5,1,2009,55107,589458192
159,3,1,2017,55111,526491166
249,2,2,1995,55110,849087932
83,1,2,1987,55109,330890329
253,2,3,2010,55123,940562270
254,3,1,1966,55123,616047202
155,1,3,2015,55199,425089800
159,4,3,2021,55106,920621700
82,1,2,1985,55107,404700851
201,4,1,2023,55106,594667439
247,1,2,1956,55109,595777031
189,3,3,1965,55109,779335614
227,3,3,1963,55199,787522900
276,1,2,1974,55126,800239375
232,2,2,1953,55110,756647474
213,3,2,1978,55156,795674191
152,4,2,2005,55111,753898542
284,4,2,1955,55199,692921271
127,5,3,1950,55109,709819025
227,4,2,1988,55111,858876045
269,5,1,1950,55109,821663095
173,1,3,2012,55160,744196015
126,1,3,2006,55106,502448420
230,1,1,2016,55109,738883303
153,2,1,2014,55111,395982543
216,2,3,2014,55160,762310356
288,5,2,1970,55156,822924992
177,4,3,1979,55110,923297276
281,4,3,1982,55156,884472394
176,1,1,1997,55110,499212541
177,3,3,1971,55126,621719946
228,2,2,2003,55109,558240961
157,2,1,1953,55109,364991421
68,1,3,2004,55110,663559839
158,2,3,1993,55123,699015541
296,1,2,1961,55107,739114898
180,5,3,2023,55126,765996471
128,4,3,2001,55110,679672324
292,3,3,2014,55156,871227138
281,4,3,2014,55199,768453273
173,4,2,1959,55123,655820438
141,5,3,1967,55110,868384541
89,2,3,1996,55111,499457415
31,3,3,2015,55109,723311267
283,2,1,1998,55199,618881244
169,4,2,2021,55199,669380492
66,1,1,1971,55160,358604346
189,4,1,1975,55156,623449944
38,2,2,1958,55109,555222421
262,4,1,1970,55123,969760109
128,1,1,2012,55123,288982496
176,5,1,1955,55156,894043620
237,2,2,1963,55110,632727174
160,4,3,1982,55110,698214934
181,2,2,2020,55123,747064837
83,5,2,1973,55160,804694030
149,4,2,2022,55111,877329678
190,4,1,2024,55156,576902951
145,2,3,2000,55123,710016929
104,2,2,1951,55109,674309261
142,1,2,1964,55199,369516956
133,5,3,1984,55111,811044687
283,1,3,1985,55160,643576348
256,4,3,1988,55123,608601174
141,2,1,1953,55107,597454902
128,4,3,2013,55110,819761667
182,4,1,2023,55156,758638987
223,3,2,1955,55156,795897249
192,3,1,2006,55160,863486083
237,4,3,1979,55156,878069907
198,2,1,2023,55199,526428635
190,4,3,2016,55126,558732421
97,3,1,1964,55107,508903245
164,2,2,1966,55107,704477302
224,4,1,1967,55156,603132450
157,5,2,1968,55111,716981230
62,5,3,2018,55123,869525312
205,4,2,1973,55111,821672786
51,2,3,1997,55156,601302264
267,4,3,1979,55199,898601420
187,4,2,1964,55126,592901575
67,3,2,1996,55109,459165137
259,5,1,1993,55109,727004725
80,3,1,1976,55156,539589666
293,3,2,2013,55109,599802774
56,4,2,1990,55111,616779761
255,3,2,2017,55160,678832601
126,5,2,1954,55156,926811752
176,3,3,2002,55110,471863077
33,5,2,1957,55126,621707283
64,3,2,1971,55111,350735937
221,5,2,1956,55126,621619545
78,3,2,1971,55160,369557757
46,3,3,1995,55111,410550584
201,2,1,1979,55199,718375742
249,5,1,1965,55107,902745251
187,5,1,1954,55160,633246808
75,5,1,2016,55110,725471837
35,1,1,1972,55126,523259665
128,3,3,2010,55110,666919322
262,5,1,2023,55123,807530122
66,1,3,1954,55106,602803812
210,2,3,1972,55123,780168535
124,5,1,1974,55107,898942877
128,5,1,1957,55110,745461981
217,1,1,1970,55107,724709052
145,3,2,1951,55160,648555827
220,2,3,1971,55123,807789582
282,5,1,2021,55156,879437495
190,3,2,2021,55111,824025506
285,2,3,2017,55109,638953830
157,4,2,2013,55110,802528983
47,4,2,1968,55107,673576519
252,2,1,2002,55109,736206163
83,1,3,2001,55126,421267176
87,2,2,1996,55199,632935278
203,2,3,2003,55111,583527129
143,1,1,1993,55111,651232499
180,1,3,1956,55126,406027863
156,3,2,1950,55106,655327893
184,3,2,2012,55123,515229060
133,1,3,1988,55106,396555619
275,4,2,1968,55106,845795492
205,4,2,1980,55126,770148606
68,2,2,1973,55110,579971036
199,5,1,2018,55110,650513678
276,2,1,2014,55111,759477210
55,2,2,1982,55199,413973878
42,5,3,2008,55156,720292423
65,1,1,1982,55111,381244155
202,4,3,1981,55110,868963128
49,2,2,2008,55111,518030044
293,5,2,1990,55107,1001529170
171,3,3,1961,55110,675090718
172,2,1,2022,55107,637804616
121,4,3,1960,55126,812630729
244,1,3,1968,55126,792699876
80,2,2,2003,55156,549115401
182,2,1,2006,55156,633034848
215,5,3,1991,55199,735828760
92,3,1,2020,55107,643212728
219,3,2,1980,55123,568613749
154,1,1,2001,55199,291553975
179,4,2,1951,55111,928957827
87,1,1,1987,55123,444701748
209,2,3,1981,55199,553368214
199,2,2,1959,55123,832416166
83,3,3,1957,55111,680880630
130,4,2,2024,55156,450717380
293,5,1,1969,55156,857916595
82,4,1,1969,55156,571791952
89,2,2,1958,55111,727279168
137,5,2,2021,55156,634056753
34,4,2,1964,55123,614742411
132,4,1,2012,55110,820595362
225,5,2,1970,55107,700924851
291,2,2,1954,55123,856000781
76,4,3,1984,55111,850347503
173,5,2,2017,55107,575182225
298,2,3,1997,55111,751982153
153,5,3,2011,55156,936084150
135,5,3,1984,55107,969637134
187,4,1,2019,55156,543756434
176,2,3,1970,55156,454622689
174,4,2,1988,55109,546899564
149,1,1,1983,55110,613551192
121,1,1,1964,55123,491038279
87,2,1,1955,55107,317604578
258,5,1,2015,55110,1010094546
146,4,1,2005,55123,460450861
156,4,1,1998,55199,478432700
158,2,1,1950,55123,404923307
87,2,3,2014,55106,607203146
151,1,2,1977,55123,670928202
30,3,2,1969,55111,592443738
268,2,3,1997,55111,884567997
125,3,3,2021,55126,632716969
155,2,1,2014,55199,492558447
147,5,1,2000,55156,520211109
77,5,3,1992,55156,770819229
118,1,1,1998,55126,384277566
266,1,2,1974,55160,639639090
218,3,2,2023,55109,557609260
221,2,1,1990,55110,542322222
98,4,1,2020,55111,458339180
276,1,1,2013,55107,515709524
105,4,2,2010,55109,510581755
183,4,1,1961,55111,697842490
173,2,3,2018,55199,753452353
115,3,1,1963,55160,436669388
214,2,3,1983,55199,699383617
249,1,1,1997,55156,760796920
98,4,1,2010,55110,727179306
76,2,2,1984,55107,643952300
123,2,3,2014,55107,778432478
267,2,3,2008,55160,545482133
233,1,3,1985,55110,732352174
247,3,2,1968,55109,742111708
68,2,3,1991,55106,503035104
129,1,2,2018,55110,730007646
283,4,1,1968,55109,668611981
251,5,1,1988,55110,826785545
52,1,3,2018,55109,282242449
279,5,1,2001,55160,991942218
39,2,1,1961,55123,244951078
275,2,3,1996,55111,874062574
129,1,1,1985,55156,414891329
209,5,3,2012,55123,698412405
252,2,3,2000,55123,919650631
279,4,1,1992,55123,841577566
176,3,1,1983,55111,537179399
125,3,1,1998,55123,611386474
286,2,1,1967,55109,657186351
33,5,1,2010,55123,605834561
45,2,2,2006,55107,518650325
276,5,1,1954,55123,797044475
287,4,2,1973,55160,770930884
189,5,3,2013,55160,738043718
181,2,1,2008,55106,417525331
207,4,1,1987,55199,905023643
192,1,1,1982,55199,576230274
62,3,3,1959,55199,647187880
208,2,2,1986,55126,553308585
130,2,2,1960,55126,760558327
297,2,1,1973,55123,557830284
94,4,1,2020,55160,733030520
197,1,1,1970,55126,649252756
72,5,1,1969,55106,575713068
73,1,3,1959,55110,483594134
41,4,1,1996,55160,450248710
124,2,3,1996,55199,475245275
282,3,1,1964,55107,585259903
271,2,2,1993,55111,653927965
64,5,2,2011,55123,854340804
244,3,1,1955,55199,638816326
119,2,1,2015,55107,539281466
293,3,3,1953,55156,727416509
122,1,1,1972,55111,336195575
119,4,1,1962,55160,601289952
144,2,1,1980,55156,659298586
134,5,2,1965,55109,615163213
225,1,3,1990,55123,672854010
143,2,2,1950,55111,476151506
104,1,3,1961,55109,364228463
246,5,2,2005,55106,735494642
278,2,1,1999,55156,570811467
193,5,2,1969,55106,645216194
221,3,2,2015,55160,528866566
256,5,3,1985,55156,803575543
206,3,3,1987,55160,642671586
128,2,2,1971,55123,479770608
65,3,3,2010,55106,552544786
125,2,3,1999,55126,379505915
181,2,3,2008,55199,842103615
180,4,3,1969,55126,654927442
219,2,3,1985,55109,747376342
253,3,2,1964,55126,957526090
66,4,3,2011,55110,817043514
297,4,1,1952,55156,963306004
212,2,2,1954,55109,625359859
42,5,2,2005,55199,657589025
246,5,2,1980,55199,828201586
91,4,3,1984,55126,840927174
113,2,1,2020,55160,460115113
246,5,3,2019,55109,993106347
216,2,2,1975,55109,547480447
48,2,2,1950,55199,396823642
206,4,2,1956,55106,535850431
129,4,2,1985,55110,684282417
262,1,3,1974,55111,728777494
105,5,1,2008,55156,789838373
294,5,1,2010,55110,773758265
235,5,2,1978,55107,1029958234
252,3,1,1967,55110,492602119
81,2,2,1990,55107,474176386
173,4,2,1968,55106,825038293
98,5,1,1953,55126,717026629
128,1,2,2014,55160,386212710
54,5,1,1990,55106,498185575
82,2,2,1964,55109,396002083
180,2,1,2003,55199,570236523
173,4,2,2013,55110,603499223
86,3,1,2021,55106,758703499
68,4,2,1964,55156,638338128
138,5,2,1999,55199,798798997
210,1,2,1971,55110,687471221
71,4,1,1967,55106,503550226
215,3,3,1951,55107,742053768
252,4,2,1985,55126,611431419
151,2,2,1969,55156,693196574
162,5,1,1965,55123,867835216
192,5,2,2016,55107,883592086
244,5,2,1979,55123,685535678
250,5,2,2004,55110,745874706
264,5,2,2015,55199,870438681
175,5,3,1975,55107,626450201
268,1,3,2006,55110,559212543
105,3,2,2018,55123,380083795
38,5,2,1951,55160,407905013
103,3,2,2005,55109,734785388
282,5,3,2011,55106,897072067
259,4,3,1983,55156,793171182
36,5,1,2005,55111,400547915
203,2,1,2004,55160,534163224
170,1,2,1969,55199,445476215
197,4,2,1999,55109,691103737
199,4,3,1974,55107,773689801
151,2,2,1974,55107,630455381
223,5,2,2002,55126,775551750
34,1,3,1963,55107,349143575
58,4,3,2009,55160,537699905
194,1,3,1992,55110,518495188
165,4,3,2011,55110,686362950
174,5,1,2018,55156,614586439
246,4,3,2012,55111,717447796
161,4,3,1951,55110,750157157
99,3,2,2003,55110,373785428
281,5,2,1965,55123,692372423
211,2,2,2004,55106,602668728
196,2,1,1992,55156,735476824
120,5,3,2010,55106,745627035
231,2,3,1987,55106,499386395
48,5,1,1994,55110,792456373
68,2,3,2000,55199,626469278
155,3,2,1991,55123,730597683
202,2,1,1973,55107,739847267
170,4,3,1979,55160,954111320
271,5,1,1986,55111,880742835
249,1,1,2002,55109,410262071
155,1,3,2012,55109,364253284
87,5,2,1960,55111,748883004
177,3,3,1972,55156,781421938
30,2,3,1999,55111,314784459
219,3,2,2004,55123,795134436
220,1,3,2004,55110,436589284
146,5,3,1953,55199,569586718
163,5,3,2003,55123,1002795261
87,3,1,2010,55107,700944191
73,3,1,1954,55110,627752017
202,2,1,1967,55110,784996229
189,4,3,1993,55160,624607688
202,4,2,1980,55199,706327690
178,2,1,1970,55109,582464990
109,4,2,1996,55126,431961398
242,1,3,1979,55126,710046573
232,4,1,2004,55126,527379063
281,2,3,2017,55123,894483642
258,4,2,2018,55199,983702300
193,5,1,1990,55160,865221165
256,3,1,1994,55111,932959480
176,1,1,2023,55126,444713778
49,5,1,1979,55106,762219177
76,5,2,1994,55123,806813252
262,2,1,1994,55160,777347709
43,3,3,1994,55111,460669219
172,3,1,2004,55110,471714438
30,1,2,2008,55156,502013695
83,2,1,1954,55111,419661559
288,1,2,1981,55110,849477246
173,4,2,1955,55106,661321484
41,5,3,1975,55111,701648125
253,1,1,1986,55156,541394953
185,5,1,1962,55109,587980963
37,2,1,2018,55111,318645775
151,4,3,1974,55111,552611828
193,2,3,1962,55106,801930258
119,4,2,1969,55109,554563348
165,4,2,2021,55199,875546423
215,5,2,2009,55106,692199566
207,2,3,2022,55123,866947503
57,2,3,1970,55109,418266780
249,1,3,2010,55160,567498628
70,2,2,1975,55156,404367225
257,1,3,2003,55106,510979696
221,3,2,1991,55199,723198801
174,3,2,1960,55156,871429938
230,3,1,1986,55107,509610368
241,2,1,1960,55160,825349564
249,2,1,1976,55110,509562906
269,1,2,1983,55109,510116376
75,4,1,1987,55160,381332840
64,1,1,2010,55156,619616020
282,3,1,2002,55126,707465485
111,1,3,2014,55111,664335924
285,4,2,1952,55106,969411923
226,2,1,2016,55123,496226267
39,1,3,1977,55107,470885268
271,3,3,1963,55107,835517590
280,3,3,2001,55109,649019639
34,2,1,1979,55126,370976979
148,1,3,2007,55126,763556503
94,4,2,2003,55106,730209398
175,2,3,2018,55126,598208024
253,1,3,1964,55111,579030756
268,5,3,1987,55126,821357525
206,3,3,1963,55109,855627646
296,4,2,2006,55111,872273274
92,4,1,2008,55123,541025943
246,4,2,1957,55111,784545806
206,3,2,2021,55126,915192459
127,1,1,1968,55126,346085421
134,2,3,1981,55111,722576350
128,1,1,1978,55106,359813226
35,2,1,1990,55123,617405823
226,4,2,2024,55107,623259678
162,1,1,1994,55126,477949108
288,4,3,1962,55160,756229096
52,5,2,1976,55126,692193875
82,4,3,1968,55123,594351815
194,4,2,1975,55106,600528171
231,2,3,2002,55107,867303892
112,5,1,2000,55199,830311033
174,4,1,1986,55109,763933915
114,4,1,1958,55156,555622502
107,5,3,2001,55126,676660944
30,5,2,2003,55126,747301771
80,1,2,1952,55107,290873075
202,2,2,2018,55107,727883505
234,5,1,1957,55109,911799697
289,5,3,1963,55110,689605564
63,3,2,1952,55123,336151982
124,5,3,1973,55106,638276214
101,2,2,1962,55156,351068699
68,4,1,1992,55107,666395195
183,4,3,1978,55111,571203586
279,4,2,2021,55199,604480079
191,4,2,2000,55106,561013077
147,3,2,1991,55156,543069749
288,5,2,1980,55126,659320176
297,4,1,2012,55199,896007838
83,1,2,1975,55107,361459838
265,4,2,1967,55160,590325598
251,5,1,2006,55109,757694152
280,4,2,1956,55160,593347891
141,3,3,1997,55199,444074383
284,2,3,2009,55126,555006525
236,2,2,1982,55160,760255929
258,5,1,1952,55156,689673701
95,2,1,1953,55160,671214379
104,2,1,1953,55126,567338092
132,1,2,1991,55123,445626252
221,5,2,1958,55109,669364410
281,5,3,2000,55107,710166216
255,2,1,1966,55123,609952173
127,2,2,1966,55160,747381037
278,2,2,1969,55110,823473712
195,3,2,1963,55109,729887454
59,4,1,1971,55123,740452446
276,3,1,2001,55109,555878074
135,5,3,1976,55156,637392374
80,1,1,1992,55109,276393534
110,4,2,1952,55109,604176513
162,1,3,1957,55111,765434463
167,5,1,1959,55123,717534314
213,5,1,1978,55111,550859553
98,1,1,1989,55123,652302336
63,1,1,2014,55199,581912340
291,1,2,1970,55123,485954428
82,5,1,1973,55110,683407746
234,2,2,2022,55111,588869722
155,1,2,2009,55111,371568619
264,4,2,1975,55110,793750278
72,5,3,1958,55109,736101024
269,3,2,1969,55110,934988488
140,3,1,2005,55123,712479901
278,4,3,1985,55126,793482679
180,2,1,1985,55199,496376281
212,1,2,2022,55109,578890451
124,5,1,1971,55199,739181925
37,1,3,1950,55156,317496616
213,5,3,2018,55110,873488054
224,3,1,2022,55111,879884446
224,1,1,1986,55111,677146942
184,4,1,2021,55160,758515158
122,2,3,1962,55123,785258801
189,4,2,1992,55109,542382104
90,2,1,1986,55160,500440686
151,1,2,2023,55160,399928365
80,1,3,1974,55160,578238161
34,2,1,1970,55160,231694482
121,3,1,1990,55111,480789810
199,5,3,2022,55156,871854269
51,4,1,1991,55106,472424361
30,4,2,1991,55156,680386879
162,4,3,1951,55160,932420723
262,1,3,2017,55107,784754996
41,4,1,1957,55160,409893701
75,5,3,2010,55111,891814992
63,5,1,1963,55110,830269805
107,2,1,1970,55106,523066759
247,1,3,1973,55109,497197749
102,5,1,1999,55107,798708068
278,3,2,1994,55109,866562266
76,1,2,2013,55160,671896803
150,1,1,2013,55160,486611461
243,5,2,1975,55199,715766661
268,3,1,1981,55160,507909100
85,2,2,2006,55156,577611395
136,5,3,2002,55110,856360615
77,3,1,1982,55107,538445338
90,1,1,2001,55106,501274340
55,3,1,1967,55107,601643137
286,1,1,1984,55126,551764104
37,5,1,1961,55111,397543251
142,5,1,2000,55109,510343283
282,4,3,1959,55156,1049047466
209,4,3,2001,55110,594243110
236,4,2,1983,55109,814180025
156,5,1,2016,55156,747188813
85,2,2,1988,55199,410810713
243,5,2,1957,55123,653659109
43,3,3,1978,55156,691284893
57,5,2,1971,55110,427830883
107,5,3,2019,55110,502626085
245,1,2,2010,55156,405253154
183,1,1,1992,55106,720764662
43,1,2,1998,55110,409763138
216,5,3,1978,55110,782899648
36,2,3,1980,55126,371155067
32,3,3,2002,55160,493913663
140,3,2,1983,55110,429313209
267,2,2,1987,55199,750639028
268,2,3,2006,55199,888296377
256,3,1,1953,55110,730491537
44,4,1,1951,55156,659754902
221,1,2,1961,55106,624908959
148,1,2,1984,55107,592997020
57,3,3,2019,55107,697858390
231,2,2,2021,55111,693651903
68,4,2,1970,55199,643361733
260,3,3,2010,55126,800634704
115,1,3,1984,55126,711956497
155,5,2,1997,55160,822825758
54,2,1,1964,55123,304276229
174,5,2,2020,55110,817183265
42,3,1,1964,55110,585401899
241,1,1,1955,55123,588022763
54,4,1,2017,55107,527814883
97,5,3,1971,55160,917028015
96,4,3,1981,55106,614204585
262,1,3,1971,55107,518167806
138,5,2,1976,55199,729407398
175,4,3,1964,55126,709706157
140,4,3,1993,55109,586513574
257,5,2,1958,55199,938747083
140,1,2,1983,55106,716468106
63,4,1,2022,55111,536341296
140,3,2,1964,55109,668687594
293,5,2,2011,55111,852305204
265,2,3,1994,55123,839111746
112,2,1,2021,55123,689762815
71,1,1,2007,55109,298958165
130,3,2,1968,55110,490878851
35,4,3,1965,55156,470570823
209,2,3,2024,55109,733866317
255,1,3,1957,55109,892470807
258,3,3,1982,55126,705237517
179,3,2,2023,55126,473642395
227,1,3,1967,55106,679624783
99,1,1,1984,55126,548890335
141,4,1,1992,55109,792654382
33,1,2,1999,55126,372704267
124,4,3,1952,55123,888981519
181,4,3,2008,55110,902614643
166,5,3,1977,55123,638314258
276,3,3,1995,55123,608808068
272,3,2,2013,55110,957648937
60,3,3,2019,55199,719764345
69,5,2,1996,55109,727060816
258,4,3,1963,55126,931710958
65,4,3,1956,55109,766902919
252,1,1,2023,55110,526342887
35,5,2,1980,55126,595999399
249,1,1,2000,55160,690180381
104,5,2,1978,55106,685039625
33,1,3,1964,55126,474037395
163,2,3,1974,55160,590622124
147,3,2,2010,55109,735155663
123,3,1,1990,55199,702521039
91,4,2,2018,55126,549697641
223,2,2,1953,55156,613539906
232,3,3,2006,55107,866145814
55,4,1,1980,55156,758882197
202,2,2,1952,55199,548401272
162,3,1,2016,55111,815308955
147,1,1,1999,55111,690204963
241,5,2,1966,55111,606767619
254,2,1,2009,55123,607865746
49,4,3,2023,55126,746708874
142,2,3,2015,55123,432207783
169,4,3,2024,55110,697715309
76,2,3,1973,55111,630231869
30,4,1,1981,55123,691961965
119,3,3,1968,55109,478162486
171,1,2,2015,55199,540789926
67,3,3,2009,55110,663814196
168,1,2,2015,55126,577514001
288,3,2,1964,55107,681168779
190,3,3,1984,55126,779803021
207,2,3,2018,55126,697835950
39,5,1,1976,55156,777524988
290,4,2,1956,55109,892732523
167,4,3,1955,55111,712790953
201,4,1,1982,55156,561160523
42,1,3,2007,55109,453800551
197,4,3,1998,55107,759431130
159,4,3,1966,55107,653726021
113,2,2,1991,55126,488907799
130,3,3,2021,55110,484161138
294,4,1,1989,55160,610630560
67,5,3,1995,55123,637468460
123,4,3,2020,55126,907664181
124,1,1,2019,55126,552143567
98,1,1,2017,55123,621583793
265,1,2,1950,55199,456869963
166,4,2,2001,55110,640257720
105,2,2,1984,55109,717860772
64,5,2,2018,55199,567394612
30,4,1,1954,55126,430620812
89,2,3,1966,55126,730843065
296,2,3,2002,55123,893255623
258,4,3,2001,55156,1007683813
299,4,2,1963,55156,659316930
242,2,1,1978,55199,727027519
194,2,1,1957,55110,573863865
34,2,1,1950,55199,243117443
107,4,3,1978,55160,807383723
91,2,2,1985,55156,551497196
161,1,1,2000,55123,466363393
118,4,2,1986,55110,656275747
266,1,1,2018,55126,419964438
71,3,2,2002,55160,617059244
118,4,1,2001,55109,712860306
133,3,2,1961,55110,469180775
43,2,1,2001,55110,566429959
208,2,1,1950,55126,526774927
154,5,2,1956,55106,619090105
52,2,2,1966,55106,457479402
92,3,3,1992,55156,595523985
172,2,2,2020,55123,780678563
182,4,1,1966,55111,843342103
174,2,1,2008,55107,575870720
254,5,2,1952,55160,664032128
133,2,3,1978,55199,764409727
133,3,2,1971,55110,488358829
68,3,1,1987,55109,339101731
227,2,1,2003,55156,444887818
163,3,3,1999,55199,556639185
96,3,2,2018,55109,557415951
208,5,1,1979,55160,858290832
71,4,1,1972,55199,706047521
44,5,1,1996,55107,776667971
140,1,2,1970,55123,458277346
186,5,2,1969,55160,655431758
260,2,3,1972,55110,513742977
186,4,1,2017,55123,684248183
67,2,1,1970,55199,435941554
126,1,3,1970,55126,316098782
283,4,1,1950,55123,698010228
225,3,3,1964,55111,610006168
115,5,3,1966,55199,859537650
39,2,1,2000,55126,406857403
34,1,2,2012,55107,500721220
152,3,2,1963,55199,459536397
147,5,2,2008,55160,535114153
188,3,2,1999,55110,738070127
257,5,1,1983,55107,724757157
245,4,3,1955,55156,686363704
213,3,3,1998,55110,698459047
44,3,1,1955,55156,288586433
186,3,2,2018,55110,824798417
165,4,3,1956,55111,532918260
290,1,1,2000,55107,692513780
186,5,1,1950,55160,638215156
76,3,2,1962,55107,785546195
202,4,1,1992,55156,629326399
159,1,3,1976,55123,385613476
124,5,3,2020,55156,682782896
144,4,1,1952,55160,493977583
272,5,3,2007,55126,1111255769
98,3,1,1966,55199,602845988
177,1,3,1994,55199,412686448
40,4,2,2007,55126,437519171
283,1,3,2005,55110,512644832
67,3,2,2003,55160,730121301
163,1,2,1978,55126,551857376
229,1,1,2003,55109,682050267
52,2,2,1976,55107,485466493
247,1,3,1994,55156,848440387
170,5,3,1980,55156,831560001
133,4,2,1985,55109,617000204
239,2,1,2010,55111,662250285
140,4,2,1986,55156,796585904
133,4,3,2016,55107,842234815
200,3,3,1985,55126,889973002
162,3,2,1954,55106,574946086
156,2,2,1995,55110,690630921
135,3,2,2001,55110,570475946
121,3,3,1998,55106,814270985
80,3,3,1955,55160,647114567
58,4,3,1959,55160,807061700
243,2,1,1972,55109,583874646
296,4,3,1966,55109,1013339425
286,5,3,1993,55111,1002649467
130,4,1,1990,55123,438002575
139,5,1,1964,55107,843295363
211,1,1,1993,55111,633085371
30,1,1,2007,55109,591779739
84,5,1,1999,55160,795577583
178,5,1,2001,55126,514892859
166,4,2,2019,55156,605155661
231,5,2,2017,55199,741307403
146,2,2,2012,55160,383478587
